file,sample_id,algorithm,input_size,text_len,pattern_len,k,runtime_sec,num_expected,num_pred,valid,expected,pred
dna_10.txt,0,Brute Force with k mismatches,10,10,3,0,6.636000762227923e-06,1,1,True,[1],[1]
dna_10.txt,1,Brute Force with k mismatches,10,10,3,0,3.911998646799475e-06,1,1,True,[3],[3]
dna_10.txt,2,Brute Force with k mismatches,10,10,3,0,3.352999556227587e-06,1,1,True,[6],[6]
dna_10.txt,3,Brute Force with k mismatches,10,10,3,1,3.2830012060003355e-06,2,2,True,"[2, 3]","[2, 3]"
dna_10.txt,4,Brute Force with k mismatches,10,10,3,0,2.7940004656556994e-06,1,1,True,[1],[1]
dna_10.txt,5,Brute Force with k mismatches,10,10,3,0,2.4450000637443736e-06,1,1,True,[5],[5]
dna_10.txt,6,Brute Force with k mismatches,10,10,3,1,3.352999556227587e-06,2,2,True,"[5, 7]","[5, 7]"
dna_10.txt,7,Brute Force with k mismatches,10,10,3,0,3.352999556227587e-06,2,2,True,"[0, 6]","[0, 6]"
dna_10.txt,8,Brute Force with k mismatches,10,10,3,1,3.2830012060003355e-06,1,1,True,[7],[7]
dna_10.txt,9,Brute Force with k mismatches,10,10,3,0,3.352999556227587e-06,1,1,True,[1],[1]
dna_20.txt,0,Brute Force with k mismatches,20,20,3,0,4.330999217927456e-06,2,2,True,"[13, 15]","[13, 15]"
dna_20.txt,1,Brute Force with k mismatches,20,20,3,0,4.330999217927456e-06,1,1,True,[12],[12]
dna_20.txt,2,Brute Force with k mismatches,20,20,3,0,4.260999048710801e-06,1,1,True,[17],[17]
dna_20.txt,3,Brute Force with k mismatches,20,20,3,0,4.191000698483549e-06,1,1,True,[3],[3]
dna_20.txt,4,Brute Force with k mismatches,20,20,3,0,3.772000127355568e-06,1,1,True,[5],[5]
dna_20.txt,5,Brute Force with k mismatches,20,20,3,1,5.2389987104106694e-06,4,4,True,"[4, 5, 10, 11]","[4, 5, 10, 11]"
dna_20.txt,6,Brute Force with k mismatches,20,20,3,1,5.239000529400073e-06,4,4,True,"[2, 8, 13, 16]","[2, 8, 13, 16]"
dna_20.txt,7,Brute Force with k mismatches,20,20,3,1,5.099000190966763e-06,2,2,True,"[8, 16]","[8, 16]"
dna_20.txt,8,Brute Force with k mismatches,20,20,3,0,4.261000867700204e-06,1,1,True,[13],[13]
dna_20.txt,9,Brute Force with k mismatches,20,20,3,0,3.772000127355568e-06,1,1,True,[12],[12]
dna_40.txt,0,Brute Force with k mismatches,40,40,4,0,6.7759992816718295e-06,1,1,True,[4],[4]
dna_40.txt,1,Brute Force with k mismatches,40,40,4,1,8.662000254844315e-06,2,2,True,"[2, 3]","[2, 3]"
dna_40.txt,2,Brute Force with k mismatches,40,40,4,0,6.636000762227923e-06,1,1,True,[35],[35]
dna_40.txt,3,Brute Force with k mismatches,40,40,4,0,6.706000931444578e-06,2,2,True,"[25, 35]","[25, 35]"
dna_40.txt,4,Brute Force with k mismatches,40,40,4,0,6.705000487272628e-06,1,1,True,[6],[6]
dna_40.txt,5,Brute Force with k mismatches,40,40,4,0,6.704998668283224e-06,1,1,True,[33],[33]
dna_40.txt,6,Brute Force with k mismatches,40,40,4,0,6.636000762227923e-06,1,1,True,[20],[20]
dna_40.txt,7,Brute Force with k mismatches,40,40,4,0,6.285999916144647e-06,1,1,True,[36],[36]
dna_40.txt,8,Brute Force with k mismatches,40,40,4,0,6.1470000218832865e-06,1,1,True,[27],[27]
dna_40.txt,9,Brute Force with k mismatches,40,40,4,1,8.941000487538986e-06,2,2,True,"[26, 29]","[26, 29]"
dna_80.txt,0,Brute Force with k mismatches,80,80,8,0,1.1595999239943922e-05,1,1,True,[16],[16]
dna_80.txt,1,Brute Force with k mismatches,80,80,8,0,1.138600055128336e-05,1,1,True,[33],[33]
dna_80.txt,2,Brute Force with k mismatches,80,80,8,0,1.1037000149372034e-05,1,1,True,[44],[44]
dna_80.txt,3,Brute Force with k mismatches,80,80,8,1,1.4739000107510947e-05,1,1,True,[47],[47]
dna_80.txt,4,Brute Force with k mismatches,80,80,8,2,2.1026000467827544e-05,2,2,True,"[22, 38]","[22, 38]"
dna_80.txt,5,Brute Force with k mismatches,80,80,8,2,2.011700053117238e-05,1,1,True,[52],[52]
dna_80.txt,6,Brute Force with k mismatches,80,80,8,0,1.1316000382066704e-05,1,1,True,[28],[28]
dna_80.txt,7,Brute Force with k mismatches,80,80,8,1,1.5437000911333598e-05,1,1,True,[41],[41]
dna_80.txt,8,Brute Force with k mismatches,80,80,8,0,1.0896999810938723e-05,1,1,True,[7],[7]
dna_80.txt,9,Brute Force with k mismatches,80,80,8,1,1.5158000678638928e-05,1,1,True,[66],[66]
dna_160.txt,0,Brute Force with k mismatches,160,160,16,5,6.580199988093227e-05,1,1,True,[141],[141]
dna_160.txt,1,Brute Force with k mismatches,160,160,16,5,6.817599933128804e-05,1,1,True,[48],[48]
dna_160.txt,2,Brute Force with k mismatches,160,160,16,4,6.76180006848881e-05,1,1,True,[66],[66]
dna_160.txt,3,Brute Force with k mismatches,160,160,16,1,2.9128999813110568e-05,1,1,True,[36],[36]
dna_160.txt,4,Brute Force with k mismatches,160,160,16,4,5.790800059912726e-05,1,1,True,[54],[54]
dna_160.txt,5,Brute Force with k mismatches,160,160,16,2,3.9955999454832636e-05,1,1,True,[61],[61]
dna_160.txt,6,Brute Force with k mismatches,160,160,16,4,5.776800026069395e-05,1,1,True,[70],[70]
dna_160.txt,7,Brute Force with k mismatches,160,160,16,3,4.9665999540593475e-05,1,1,True,[43],[43]
dna_160.txt,8,Brute Force with k mismatches,160,160,16,3,4.987499960407149e-05,1,1,True,[22],[22]
dna_160.txt,9,Brute Force with k mismatches,160,160,16,4,5.790799878013786e-05,1,1,True,[52],[52]
dna_320.txt,0,Brute Force with k mismatches,320,320,32,10,0.0002353349991608411,1,1,True,[29],[29]
dna_320.txt,1,Brute Force with k mismatches,320,320,32,7,0.00017016200035868678,1,1,True,[20],[20]
dna_320.txt,2,Brute Force with k mismatches,320,320,32,4,0.00011539700062712654,1,1,True,[237],[237]
dna_320.txt,3,Brute Force with k mismatches,320,320,32,8,0.00020082700029888656,1,1,True,[67],[67]
dna_320.txt,4,Brute Force with k mismatches,320,320,32,9,0.00020767299974977504,1,1,True,[280],[280]
dna_320.txt,5,Brute Force with k mismatches,320,320,32,2,8.109900045383256e-05,1,1,True,[136],[136]
dna_320.txt,6,Brute Force with k mismatches,320,320,32,8,0.00019447100021352526,1,1,True,[83],[83]
dna_320.txt,7,Brute Force with k mismatches,320,320,32,4,0.00011986699973931536,1,1,True,[15],[15]
dna_320.txt,8,Brute Force with k mismatches,320,320,32,10,0.00023931699979584664,1,1,True,[207],[207]
dna_320.txt,9,Brute Force with k mismatches,320,320,32,3,9.674600005382672e-05,1,1,True,[3],[3]
dna_640.txt,0,Brute Force with k mismatches,640,640,64,1,0.00012650400094571523,1,1,True,[564],[564]
dna_640.txt,1,Brute Force with k mismatches,640,640,64,20,0.0009140270012721885,1,1,True,[338],[338]
dna_640.txt,2,Brute Force with k mismatches,640,640,64,9,0.0004617989998223493,1,1,True,[314],[314]
dna_640.txt,3,Brute Force with k mismatches,640,640,64,21,0.000992751000012504,1,1,True,[183],[183]
dna_640.txt,4,Brute Force with k mismatches,640,640,64,5,0.0003153870002279291,1,1,True,[215],[215]
dna_640.txt,5,Brute Force with k mismatches,640,640,64,15,0.0007580450001114514,1,1,True,[334],[334]
dna_640.txt,6,Brute Force with k mismatches,640,640,64,11,0.0005966850003460422,1,1,True,[123],[123]
dna_640.txt,7,Brute Force with k mismatches,640,640,64,8,0.00045753700032946654,1,1,True,[233],[233]
dna_640.txt,8,Brute Force with k mismatches,640,640,64,16,0.0008215420002670726,1,1,True,[50],[50]
dna_640.txt,9,Brute Force with k mismatches,640,640,64,13,0.0007003459995758021,1,1,True,[525],[525]
dna_1280.txt,0,Brute Force with k mismatches,1280,1280,128,24,0.0024954309992608614,1,1,True,[422],[422]
dna_1280.txt,1,Brute Force with k mismatches,1280,1280,128,36,0.0036251629990147194,1,1,True,[983],[983]
dna_1280.txt,2,Brute Force with k mismatches,1280,1280,128,12,0.0013441820010484662,1,1,True,[1034],[1034]
dna_1280.txt,3,Brute Force with k mismatches,1280,1280,128,14,0.0015628220007783966,1,1,True,[38],[38]
dna_1280.txt,4,Brute Force with k mismatches,1280,1280,128,9,0.0010704980013542809,1,1,True,[218],[218]
dna_1280.txt,5,Brute Force with k mismatches,1280,1280,128,30,0.0030623570000898326,1,1,True,[35],[35]
dna_1280.txt,6,Brute Force with k mismatches,1280,1280,128,35,0.003558105001502554,1,1,True,[753],[753]
dna_1280.txt,7,Brute Force with k mismatches,1280,1280,128,41,0.0040871010005503194,1,1,True,[133],[133]
dna_1280.txt,8,Brute Force with k mismatches,1280,1280,128,42,0.004200543000479229,1,1,True,[240],[240]
dna_1280.txt,9,Brute Force with k mismatches,1280,1280,128,14,0.0015090349988895468,1,1,True,[135],[135]
